136 3
k power error
2.30267e-02 7.36667e+04 1.79606e+03
2.79737e-02 6.52215e+04 1.42217e+03
3.27795e-02 5.93584e+04 1.04678e+03
3.78436e-02 4.93195e+04 7.60354e+02
4.25464e-02 4.46928e+04 6.59975e+02
4.73625e-02 4.08718e+04 5.03703e+02
5.23387e-02 3.74893e+04 4.33582e+02
5.74630e-02 3.50004e+04 3.47874e+02
6.25734e-02 3.34078e+04 3.23303e+02
6.75634e-02 3.07843e+04 2.69914e+02
7.26546e-02 2.83955e+04 2.35383e+02
7.76146e-02 2.64215e+04 2.08837e+02
8.25315e-02 2.39543e+04 1.78704e+02
8.75548e-02 2.16065e+04 1.50556e+02
9.25934e-02 1.94304e+04 1.31186e+02
9.75307e-02 1.79724e+04 1.16707e+02
1.02532e-01 1.66450e+04 1.01752e+02
1.07508e-01 1.57936e+04 9.50834e+01
1.12463e-01 1.49453e+04 8.45633e+01
1.17559e-01 1.44445e+04 7.85118e+01
1.22531e-01 1.39784e+04 7.47403e+01
1.27504e-01 1.31144e+04 6.66104e+01
1.32521e-01 1.25964e+04 6.26317e+01
1.37536e-01 1.18303e+04 5.66282e+01
1.42567e-01 1.12566e+04 5.27580e+01
1.47544e-01 1.04550e+04 4.81582e+01
1.52514e-01 9.91216e+03 4.46220e+01
1.57488e-01 9.37464e+03 4.11280e+01
1.62494e-01 8.85172e+03 3.80922e+01
1.67530e-01 8.55207e+03 3.56100e+01
1.72567e-01 8.17069e+03 3.37247e+01
1.77538e-01 7.88563e+03 3.18884e+01
1.82552e-01 7.61551e+03 2.99811e+01
1.87534e-01 7.29426e+03 2.85725e+01
1.92529e-01 7.01503e+03 2.65796e+01
1.97533e-01 6.73639e+03 2.55314e+01
2.02527e-01 6.49471e+03 2.38729e+01
2.07534e-01 6.21039e+03 2.28651e+01
2.12532e-01 5.98055e+03 2.14063e+01
2.17570e-01 5.74297e+03 2.05213e+01
2.22563e-01 5.52304e+03 1.94358e+01
2.27555e-01 5.33124e+03 1.86408e+01
2.32496e-01 5.16005e+03 1.79217e+01
2.37493e-01 4.96901e+03 1.68110e+01
2.42529e-01 4.81272e+03 1.62688e+01
2.47528e-01 4.67951e+03 1.55778e+01
2.52500e-01 4.50017e+03 1.50507e+01
2.57465e-01 4.36099e+03 1.42819e+01
2.62514e-01 4.22881e+03 1.37041e+01
2.67526e-01 4.09099e+03 1.32494e+01
2.72491e-01 3.95966e+03 1.28076e+01
2.77487e-01 3.84501e+03 1.21925e+01
2.82537e-01 3.71507e+03 1.17526e+01
2.87517e-01 3.61437e+03 1.14931e+01
2.92491e-01 3.52631e+03 1.10014e+01
2.97525e-01 3.41711e+03 1.06263e+01
3.02502e-01 3.31984e+03 1.03596e+01
3.07495e-01 3.21759e+03 9.91711e+00
3.12515e-01 3.11628e+03 9.59251e+00
3.17516e-01 3.03421e+03 9.34129e+00
3.22499e-01 2.96863e+03 9.06054e+00
3.27532e-01 2.85630e+03 8.68814e+00
3.32525e-01 2.78715e+03 8.54980e+00
3.37493e-01 2.71888e+03 8.24721e+00
3.42523e-01 2.66431e+03 8.00949e+00
3.47533e-01 2.59786e+03 7.84002e+00
3.52512e-01 2.52023e+03 7.61817e+00
3.57491e-01 2.46349e+03 7.40771e+00
3.62531e-01 2.38768e+03 7.12987e+00
3.67515e-01 2.32464e+03 7.06639e+00
3.72493e-01 2.27193e+03 6.79017e+00
3.77512e-01 2.21179e+03 6.65142e+00
3.82536e-01 2.15939e+03 6.44811e+00
3.87552e-01 2.11755e+03 6.35792e+00
3.92547e-01 2.06331e+03 6.17474e+00
3.97546e-01 2.01081e+03 6.05154e+00
4.02499e-01 1.95776e+03 5.92609e+00
4.07479e-01 1.91802e+03 5.75865e+00
4.12490e-01 1.86993e+03 5.62034e+00
4.17512e-01 1.83182e+03 5.50249e+00
4.22502e-01 1.79177e+03 5.41775e+00
4.27509e-01 1.74151e+03 5.24464e+00
4.32525e-01 1.70635e+03 5.17166e+00
4.37527e-01 1.66573e+03 5.04678e+00
4.42513e-01 1.63405e+03 4.98571e+00
4.47488e-01 1.58973e+03 4.84772e+00
4.52491e-01 1.56513e+03 4.77039e+00
4.57488e-01 1.53690e+03 4.68284e+00
